rebalance_date,entry_date,ts_code,weight,signal,rank,side,signal_asof,next_entry_date,holding_window
20260130,20260202,00941.HK,0.05,0.0028986772522330284,1,long,20260130,,20260202
20260130,20260202,09987.HK,0.05,0.0026419758796691895,2,long,20260130,,20260202
20260130,20260202,01211.HK,0.05,0.0018614842556416988,3,long,20260130,,20260202
20260130,20260202,06160.HK,0.05,0.0015677741030231118,4,long,20260130,,20260202
20260130,20260202,00316.HK,0.05,0.0012210726272314787,5,long,20260130,,20260202
20260130,20260202,06855.HK,0.05,-0.00028490269323810935,6,long,20260130,,20260202
20260130,20260202,02020.HK,0.05,-0.0003098445013165474,7,long,20260130,,20260202
20260130,20260202,02238.HK,0.05,-0.0004087905981577933,8,long,20260130,,20260202
20260130,20260202,09606.HK,0.05,-0.0006250450969673693,9,long,20260130,,20260202
20260130,20260202,00884.HK,0.05,-0.0006409302004612982,10,long,20260130,,20260202
20260130,20260202,03690.HK,0.05,-0.0008925587753765285,11,long,20260130,,20260202
20260130,20260202,00669.HK,0.05,-0.0009191642166115344,12,long,20260130,,20260202
20260130,20260202,00300.HK,0.05,-0.0009750283206813037,13,long,20260130,,20260202
20260130,20260202,01928.HK,0.05,-0.001086883945390582,14,long,20260130,,20260202
20260130,20260202,01024.HK,0.05,-0.001327064586803317,15,long,20260130,,20260202
20260130,20260202,02359.HK,0.05,-0.002089231973513961,18,long,20260130,,20260202
20260130,20260202,03033.HK,0.05,-0.002558298408985138,26,long,20260130,,20260202
20260130,20260202,02015.HK,0.05,-0.0027137603610754013,27,long,20260130,,20260202
20260130,20260202,00728.HK,0.05,-0.0028062935452908278,28,long,20260130,,20260202
20260130,20260202,00762.HK,0.05,-0.002894915174692869,29,long,20260130,,20260202
